All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     MicrococcusLuteusNCTC2665-pe-150-300-10-120_contigs  MicrococcusLuteusNCTC2665-pe-150-300-10-30_contigs  MicrococcusLuteusNCTC2665-pe-150-450-10-180_contigs  MicrococcusLuteusNCTC2665-pe-150-450-10-45_contigs  MicrococcusLuteusNCTC2665-pe-150-600-10-240_contigs  MicrococcusLuteusNCTC2665-pe-150-600-10-60_contigs  MicrococcusLuteusNCTC2665-pe-50-100-10-10_contigs  MicrococcusLuteusNCTC2665-pe-50-100-10-40_contigs  MicrococcusLuteusNCTC2665-pe-50-150-10-15_contigs  MicrococcusLuteusNCTC2665-pe-50-150-10-60_contigs  MicrococcusLuteusNCTC2665-pe-50-200-10-20_contigs  MicrococcusLuteusNCTC2665-pe-50-200-10-80_contigs  MicrococcusLuteusNCTC2665-se-150-300-10_contigs  MicrococcusLuteusNCTC2665-se-150-450-10_contigs  MicrococcusLuteusNCTC2665-se-150-600-10_contigs  MicrococcusLuteusNCTC2665-se-50-100-10_contigs  MicrococcusLuteusNCTC2665-se-50-150-10_contigs  MicrococcusLuteusNCTC2665-se-50-200-10_contigs  MicrococcusLuteusNCTC2665-pe-250-1000-10-100_contigs  MicrococcusLuteusNCTC2665-pe-250-1000-10-400_contigs  MicrococcusLuteusNCTC2665-pe-250-500-10-200_contigs  MicrococcusLuteusNCTC2665-pe-250-500-10-50_contigs  MicrococcusLuteusNCTC2665-pe-250-750-10-300_contigs  MicrococcusLuteusNCTC2665-pe-250-750-10-75_contigs  MicrococcusLuteusNCTC2665-se-250-1000-10_contigs  MicrococcusLuteusNCTC2665-se-250-500-10_contigs  MicrococcusLuteusNCTC2665-se-250-750-10_contigs
# unaligned contigs          0 + 0 part                                           0 + 0 part                                          0 + 0 part                                           0 + 0 part                                          0 + 0 part                                           0 + 0 part                                          0 + 15 part                                        1 + 19 part                                        1 + 22 part                                        0 + 17 part                                        8 + 21 part                                        5 + 10 part                                        0 + 0 part                                       0 + 0 part                                       0 + 0 part                                       1 + 27 part                                     2 + 33 part                                     0 + 29 part                                     0 + 0 part                                            0 + 0 part                                            0 + 0 part                                           0 + 0 part                                          0 + 0 part                                           0 + 0 part                                          0 + 0 part                                        0 + 0 part                                       0 + 0 part                                     
Unaligned length             0                                                    0                                                   0                                                    0                                                   0                                                    0                                                   846                                                1408                                               1627                                               927                                                7166                                               3582                                               0                                                0                                                0                                                5035                                            3731                                            2181                                            0                                                     0                                                     0                                                    0                                                   0                                                    0                                                   0                                                 0                                                0                                              
Genome fraction (%)          97.843                                               97.881                                              98.204                                               97.670                                              98.002                                               97.738                                              3.822                                              3.810                                              4.617                                              3.645                                              4.509                                              4.077                                              97.797                                           97.754                                           97.722                                           42.614                                          40.743                                          40.730                                          98.114                                                98.151                                                98.285                                               98.229                                              98.327                                               98.185                                              98.026                                            98.060                                           98.112                                         
Duplication ratio            1.008                                                1.001                                               0.999                                                1.001                                               1.000                                                1.001                                               0.985                                              1.004                                              0.984                                              0.956                                              0.933                                              0.988                                              1.001                                            1.001                                            1.001                                            1.004                                           0.995                                           1.001                                           1.001                                                 1.000                                                 1.001                                                1.000                                               1.000                                                1.001                                               1.000                                             1.000                                            1.002                                          
# N's per 100 kbp            0.00                                                 0.00                                                0.00                                                 0.00                                                0.00                                                 0.00                                                0.00                                               0.00                                               0.00                                               0.00                                               0.00                                               0.00                                               0.00                                             0.00                                             0.00                                             0.00                                            0.00                                            0.00                                            0.00                                                  0.00                                                  0.00                                                 0.00                                                0.00                                                 0.00                                                0.00                                              0.00                                             0.00                                           
# mismatches per 100 kbp     11.85                                                11.19                                               12.46                                                11.30                                               23.30                                                12.89                                               655.95                                             834.17                                             672.88                                             716.36                                             783.81                                             701.21                                             5.19                                             4.25                                             4.21                                             387.21                                          359.85                                          379.70                                          36.06                                                 36.83                                                 47.80                                                37.98                                               33.83                                                34.82                                               12.69                                             11.46                                            7.54                                           
# indels per 100 kbp         0.25                                                 0.20                                                0.94                                                 1.02                                                0.90                                                 0.45                                                12.55                                              13.64                                              24.25                                              17.55                                              51.78                                              21.58                                              0.00                                             0.29                                             0.12                                             6.00                                            4.02                                            4.42                                            0.49                                                  0.45                                                  0.73                                                 0.28                                                0.24                                                 0.04                                                0.29                                              0.45                                             0.16                                           
# genes                      2231 + 63 part                                       2247 + 66 part                                      2258 + 51 part                                       2263 + 28 part                                      2267 + 38 part                                       2267 + 26 part                                      19 + 170 part                                      19 + 180 part                                      28 + 191 part                                      26 + 161 part                                      24 + 181 part                                      24 + 174 part                                      2238 + 65 part                                   2241 + 59 part                                   2241 + 53 part                                   167 + 1399 part                                 185 + 1356 part                                 182 + 1365 part                                 2270 + 57 part                                        2271 + 56 part                                        2271 + 59 part                                       2268 + 62 part                                      2277 + 53 part                                       2274 + 45 part                                      2265 + 56 part                                    2271 + 51 part                                   2269 + 63 part                                 
Largest alignment            165470                                               210079                                              159225                                               271401                                              204125                                               209188                                              2764                                               1855                                               2082                                               1728                                               1810                                               2371                                               163870                                           143376                                           229930                                           4161                                            5748                                            3494                                            271504                                                157319                                                178542                                               271561                                              274546                                               270305                                              194928                                            193471                                           206738                                         
NA50                         43932                                                60765                                               84702                                                85765                                               95226                                                88969                                               576                                                567                                                563                                                559                                                587                                                568                                                48963                                            50440                                            50442                                            697                                             701                                             690                                             113302                                                85428                                                 83156                                                92212                                               85776                                                93380                                               109333                                            113303                                           76702                                          
NGA50                        40918                                                57169                                               84702                                                85765                                               88969                                                88969                                               -                                                  -                                                  -                                                  -                                                  -                                                  -                                                  47941                                            50440                                            50442                                            -                                               -                                               -                                               111970                                                85428                                                 83156                                                92212                                               85729                                                93380                                               109333                                            113303                                           72647                                          
NA75                         24081                                                32552                                               31673                                                40944                                               39910                                                41136                                               504                                                505                                                507                                                502                                                513                                                506                                                28565                                            31098                                            37437                                            569                                             567                                             559                                             48067                                                 47826                                                 38051                                                41025                                               40734                                                43789                                               47348                                             47576                                            40734                                          
NGA75                        23681                                                31246                                               31209                                                40629                                               35810                                                40634                                               -                                                  -                                                  -                                                  -                                                  -                                                  -                                                  27712                                            29447                                            31095                                            -                                               -                                               -                                               43917                                                 39119                                                 32634                                                40780                                               37707                                                41775                                               43885                                             43916                                            39611                                          
LA50                         15                                                   12                                                  11                                                   9                                                   10                                                   9                                                   54                                                 61                                                 73                                                 57                                                 66                                                 60                                                 14                                               15                                               13                                               557                                             526                                             540                                             8                                                     10                                                    11                                                   9                                                   8                                                    10                                                  9                                                 9                                                10                                             
LGA50                        16                                                   13                                                  11                                                   9                                                   11                                                   9                                                   -                                                  -                                                  -                                                  -                                                  -                                                  -                                                  15                                               15                                               13                                               -                                               -                                               -                                               9                                                     10                                                    11                                                   9                                                   9                                                    10                                                  9                                                 9                                                11                                             
LA75                         35                                                   26                                                  23                                                   18                                                  21                                                   19                                                  98                                                 106                                                125                                                97                                                 117                                                108                                                30                                               30                                               27                                               984                                             928                                             950                                             16                                                    20                                                    23                                                   19                                                  18                                                   19                                                  18                                                17                                               22                                             
LGA75                        37                                                   27                                                  24                                                   19                                                  22                                                   20                                                  -                                                  -                                                  -                                                  -                                                  -                                                  -                                                  31                                               31                                               29                                               -                                               -                                               -                                               17                                                    21                                                    24                                                   20                                                  19                                                   20                                                  19                                                18                                               23                                             
